T0_CT_A01	T0_CT_A03	T0_CT_A05	T0_CT_A06	T0_CT_A07	T0_CT_A08	T0_CT_A10	T0_CT_A11	T0_CT_B01	T0_CT_B03	T0_CT_B05	T0_CT_B07	T0_CT_B08	T0_CT_B09	T0_CT_C02	T0_CT_C03	T0_CT_C05	T0_CT_C06	T0_CT_C07	T0_CT_C08	T0_CT_C09	T0_CT_C11	T0_CT_C12	T0_CT_D01	T0_CT_D02	T0_CT_D03	T0_CT_D05	T0_CT_D06	T0_CT_D07	T0_CT_D08	T0_CT_D09	T0_CT_D11	T0_CT_D12	T0_CT_E01	T0_CT_E03	T0_CT_E04	T0_CT_E05	T0_CT_E06	T0_CT_E07	T0_CT_E08	T0_CT_E09	T0_CT_E10	T0_CT_E11	T0_CT_E12	T0_CT_F01	T0_CT_F02	T0_CT_F03	T0_CT_F04	T0_CT_F05	T0_CT_F06	T0_CT_F07	T0_CT_F09	T0_CT_F11	T0_CT_F12	T0_CT_G01	T0_CT_G02	T0_CT_G03	T0_CT_G04	T0_CT_G07	T0_CT_G08	T0_CT_G09	T0_CT_G11	T0_CT_H01	T0_CT_H02	T0_CT_H04	T0_CT_H05	T0_CT_H08	T0_CT_H09	T0_CT_H12	T24_CT_A01	T24_CT_A03	T24_CT_A04	T24_CT_A05	T24_CT_A07	T24_CT_A08	T24_CT_A09	T24_CT_A10	T24_CT_B01	T24_CT_B02	T24_CT_B03	T24_CT_B05	T24_CT_B06	T24_CT_B07	T24_CT_B08	T24_CT_B09	T24_CT_B11	T24_CT_C01	T24_CT_C02	T24_CT_C03	T24_CT_C05	T24_CT_C07	T24_CT_C08	T24_CT_C09	T24_CT_C10	T24_CT_C11	T24_CT_C12	T24_CT_D01	T24_CT_D02	T24_CT_D03	T24_CT_D04	T24_CT_D05	T24_CT_D06	T24_CT_D07	T24_CT_D08	T24_CT_D09	T24_CT_D10	T24_CT_D11	T24_CT_E01	T24_CT_E02	T24_CT_E04	T24_CT_E05	T24_CT_E07	T24_CT_E09	T24_CT_E11	T24_CT_E12	T24_CT_F01	T24_CT_F02	T24_CT_F03	T24_CT_F04	T24_CT_F05	T24_CT_F07	T24_CT_F08	T24_CT_F09	T24_CT_F10	T24_CT_F11	T24_CT_F12	T24_CT_G01	T24_CT_G02	T24_CT_G03	T24_CT_G04	T24_CT_G05	T24_CT_G06	T24_CT_G08	T24_CT_G10	T24_CT_G11	T24_CT_G12	T24_CT_H01	T24_CT_H02	T24_CT_H03	T24_CT_H05	T24_CT_H07	T24_CT_H09	T24_CT_H12	T48_CT_A01	T48_CT_A02	T48_CT_A03	T48_CT_A04	T48_CT_A05	T48_CT_A06	T48_CT_A07	T48_CT_A08	T48_CT_A09	T48_CT_A10	T48_CT_A11	T48_CT_A12	T48_CT_B01	T48_CT_B02	T48_CT_B03	T48_CT_B04	T48_CT_B06	T48_CT_B08	T48_CT_B10	T48_CT_B11	T48_CT_B12	T48_CT_C01	T48_CT_C02	T48_CT_C03	T48_CT_C04	T48_CT_C05	T48_CT_C06	T48_CT_C07	T48_CT_C09	T48_CT_C10	T48_CT_C11	T48_CT_D01	T48_CT_D02	T48_CT_D03	T48_CT_D04	T48_CT_D06	T48_CT_D07	T48_CT_D08	T48_CT_D09	T48_CT_D10	T48_CT_D11	T48_CT_D12	T48_CT_E01	T48_CT_E02	T48_CT_E03	T48_CT_E04	T48_CT_E05	T48_CT_E06	T48_CT_E07	T48_CT_E08	T48_CT_E10	T48_CT_E11	T48_CT_E12	T48_CT_F01	T48_CT_F02	T48_CT_F03	T48_CT_F05	T48_CT_F07	T48_CT_F09	T48_CT_F10	T48_CT_F11	T48_CT_G01	T48_CT_G02	T48_CT_G03	T48_CT_G07	T48_CT_G08	T48_CT_G09	T48_CT_G10	T48_CT_G11	T48_CT_G12	T48_CT_H01	T48_CT_H02	T48_CT_H04	T48_CT_H05	T48_CT_H06	T48_CT_H07	T48_CT_H08	T48_CT_H11	T48_CT_H12	T72_CT_A01	T72_CT_A05	T72_CT_A08	T72_CT_A09	T72_CT_A11	T72_CT_B01	T72_CT_B02	T72_CT_B03	T72_CT_B04	T72_CT_B05	T72_CT_B06	T72_CT_B08	T72_CT_B09	T72_CT_B11	T72_CT_B12	T72_CT_C04	T72_CT_C06	T72_CT_C07	T72_CT_C09	T72_CT_C11	T72_CT_D01	T72_CT_D03	T72_CT_D04	T72_CT_D05	T72_CT_D07	T72_CT_D10	T72_CT_D11	T72_CT_E04	T72_CT_E05	T72_CT_E07	T72_CT_F01	T72_CT_F05	T72_CT_F07	T72_CT_F10	T72_CT_F11	T72_CT_G03	T72_CT_G04	T72_CT_G06	T72_CT_G08	T72_CT_G10	T72_CT_G11	T72_CT_H01	T72_CT_H03	T72_CT_H05	T72_CT_H08	T72_CT_H09	T72_CT_H10	T72_CT_H11	T72_CT_H12
RFC3	1.68042	1.2628	7.2221	0	42.7281	1.77153	0.616001	0	0	43.6326	0	0.118519	48.4624	43.8649	5.77471	0	0.215405	0	1.03665	18.449	2.25605	0	85.9914	0	0.301921	28.3729	57.7485	2.90361	0.135773	40.6742	0	0.125971	8.53159	8.25677	2.72734	2.00861	0	27.4461	19.0981	28.5388	3.20236	0	11.6752	47.7645	14.7825	93.7083	10.5413	8.3705	0.255071	26.1289	0.94537	0	54.8388	110.694	11.9819	0.216761	0.625768	26.2494	5.31249	72.973	17.5995	0	0.186087	0	0	0	0.309312	0.0983309	0	0	0	0	18.8655	0	0	0	0	0	0	0	0	0	0	0	0	90.6244	0	0	0	7.13813	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03111	0	15.8449	0	0	0	0	0	56.6061	0	0	0	0.235222	0	0	0	1.64706	0	0	0	0	0	64.7595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.43509	0	0	84.9298	0	0	0	0	0	0	0	0	0	1.61695	0	0	0	0	0	0	0	0	0	0	0	6.91222	0	0.353761	0	0	0	0	0	0	0.267775	0	0	0	0	0	0	0	0	0	0	0	0.17977	1.34163	0	39.8564	0	0	107.87	0.138647	0	0	0	0	0.628647	0	0	0	6.32791	0	2.26885	0	0.472288	0	11.9646	0	0	1.08852	257.651	0.373971	0	0	0	11.0003	0	0	0	0	0	0	0	0	0	0.310526	0	0	0	0	0	0.482148	24.8884	13.9458	0	24.3901	3.81767	0	0	0.54488	0	0	0	10.535	0	0	0	0	1.77393	0	0	0	0.887299	0	0	0	0	21.0191	59.2991	0.286974	37.4894	0.332203	0
ANKRD32	7.06401	19.3216	27.0913	7.84886	19.0148	0.419761	0.393701	0	0.0554083	0.399395	0	0.269956	3.80271	72.697	3.46434	0	39.5314	0	2.75961	15.1412	7.1454	36.435	15.0895	15.6355	0.0976315	0.16115	0.079689	0	0.103203	0.171594	3.89706	5.51976	0.561343	13.6229	13.3741	0	0	34.7939	27.7205	29.514	0.146762	0	1.91936	2.55926	8.46366	2.28547	0.0441037	3.91292	1.44724	26.7451	0.138404	0	0	17.2846	22.144	0	16.9983	0	0.0879063	24.6379	37.0766	0	0	0.207828	0	0	50.7554	0.0749195	0	0	0	0	0	0	43.8011	0	0	0	0	29.7194	21.8669	49.694	0	10.0293	0	22.0006	0	0	0	0	112.786	0	0	0	0	0	0	0	0.0332828	0	1.66627	0	4.72566	0	0	0	0	0	0	0	39.1859	0	0	0.149384	0	0	0	0	0	0	0	0	0	0	52.055	0	0	0	0	0	0	0.0985289	1.22689	0	0	1.97861	33.7042	0.566373	34.3571	0	0	0	1.41511	0	5.81739	0	0	0	0	13.7085	0	0	0	27.9072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22887	4.06973	0	0	0	0	0	0	2.6412	0	0	0	0	0	0	0	0	3.63481	0	0	0	0	0	0	44.7059	0	0	0	0	0	25.3678	67.0554	0	0.0537725	0	0	0	0.0826309	0.121847	0	42.4127	0	0	0	0	0.0968077	0	0	0	0	0	22.9462	1.17453	0.161423	0	0	0	0	0	34.8303	0	0	0	0	0.0768377	0	0	9.10577	0	0	1.03625	0	0	0	2.94751	0	0	0.246359	0	12.6917	19.1884	0	0	0	0	14.7187	7.66933	32.7984	0	0	0
RARRES3	0	0	0	0	0	0	0	0	0	0	0	0	27.4694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.9782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88378	0	0	0	17.6927	31.2514	0	0	0	0	97.0568	0	0	6.6853	1.27943	0	0	105.316	0	0	0	0	0	14.4434	0	21.2636	0	1.75508	0	56.894	0	67.8549	0	0	0	0	0	0	52.671	110.684	0	4.82733	0	3.69681	0	0	0	0	273.679	0	0	0	0	0	0	0	5.88506	59.9182	14.363	0	0	0	74.3611	0	0	0	4.50122	0	2.01927	0	0	22.5958	0	0	0	0	25.383	71.7078	0	0	0	0	0	15.5553	0	36.9753	40.5787	0	0	127.338	0	2.18437	0	0	0	0	345.944	0	0	0	0	0	47.3833	0	21.6996	0	1.53938	0	0	1.31402	5.73661	0	0	0	211.141	822.817	0	0	0	0	0	0	59.2186	0	0	3.95874	0	50.616	0	0	0	0	2.38763	3.87853	155.541	106.593	33.1871	0	16.8592	0	0	0	0	0	176.26	0	0	34.9264	0	0	0	0	50.6962	0	0	0	0	0	0	5.87759	0	0	0	95.6289	2.43188	0	7.48301	9.55768	0	0	0	7.24692	0	0	21.3064	0	0	0	0	0	16.3077	0	0	0	0	0	68.435	0	2.30793	24.5013	0	13.4969	63.6496	49.3887	0	0	56.5339	0	0	0	26.3956	0	0	0
C12orf29	1.56979	63.2688	1.33134	0	31.7026	0.168203	0	0	0	1.78654	0	0	7.19511	0	7.0098	4.0096	0.434139	0	36.0774	6.26205	0	0	99.2928	6.93562	0.0649351	27.9862	49.3472	0	2.56255	2.00358	34.3295	1.56906	0.662771	25.8394	28.7987	27.6743	115.416	7.46911	67.9551	1.78849	11.5639	1.28803	5.78949	0.495803	28.6962	2.24873	26.5574	56.1522	6.86738	5.19502	0.587661	20.1788	8.71731	27.4595	65.4402	1.32568	94.6165	3.43157	6.17372	1.70021	11.267	27.9754	2.39885	4.41184	4.121	0	17.6028	3.81078	1.4522	0	0	0	0	14.4056	0	0	0	0	0	68.1423	0	8.11895	1.27611	57.0142	0	0	0	0	0	0	0.306963	18.7621	0	0	3.43585	11.3755	3.89727	0	13.945	0	0	54.7845	0.302846	22.0758	0	0	0.650151	0	0	0	0	0	19.2622	0	0	0	0.179313	0	0	0	0	0	36.3715	0.698303	10.6554	0.426517	51.8726	0.243451	0	18.1039	0	0.20902	0	33.0225	0	0	0	0	0	0	49.4964	6.38485	0.110715	0.443869	76.3806	0	0	0	1.38227	0	0	0	0	11.6516	0	0	0	10.3281	0	5.80885	0	0	0.333121	0	1.78576	0	0	7.71216	0	5.21669	0	0.253317	0.381618	0	0	0	0	67.6789	1.40648	0	0	0	0	2.11261	0	2.30271	0	45.2995	0	0	0	2.85041	0	1.5024	39.3304	30.2462	23.5213	4.37606	0	0	0	0	0	6.31132	0	26.8569	0	7.07712	0	0	82.1763	0	0	0	41.8176	0	0	0	0	16.4226	0	30.8183	3.72529	1.51115	0	31.336	58.3109	0	0	7.05585	0	33.895	0	4.84923	0	2.24504	12.9178	24.7776	36.7243	0.933628	0	1.3137	65.5818	22.4433	1.45031	52.4249	0	12.7536	0	0	0.786904	59.7148	0	10.12	0	0	1.18067	0	63.0897	0	2.01828	0	58.1247	0	0	36.1076	0	0	0	0	0
LARS	222.289	46.1797	23.1792	101.105	138.842	38.7221	120.242	0.652578	21.3304	64.973	36.7242	68.9325	137.207	38.9536	26.7165	69.6536	127.394	236.884	143.044	92.6533	6.97743	63.8749	91.2238	136.312	134.785	68.779	30.9989	97.763	50.6657	103.407	64.9703	7.93504	33.851	162.864	81.5322	61.4245	7.4987	35.8011	57.263	128.371	39.9133	35.5012	125.936	96.6138	86.042	41.1936	115.671	85.0483	42.2988	61.5024	141.934	10.325	66.9895	92.3806	45.5572	43.9413	66.9894	77.7635	0.612247	122.398	138.807	73.8672	109.509	22.0868	80.012	230.662	231.717	90.7584	79.8643	333.025	118.452	103.124	97.514	64.8241	95.48	222.343	201.132	37.1185	115.232	133.724	214.721	318.029	289.361	5.61299	111.632	113.111	85.7832	100.014	166.629	47.4553	95.8277	91.7622	5.96711	101.673	9.21638	67.0526	133.427	3.32455	49.2564	54.2772	85.9654	190.703	241.054	121.232	135.702	147.167	212.564	127.644	108.39	251.317	234.135	94.8017	666.741	36.0259	102.304	134.323	147.454	256.843	323.213	38.9103	327.148	310.738	10.6875	194.105	22.4967	71.8678	261.308	80.7987	31.8454	55.0599	21.8537	198.156	177.216	85.1233	280.342	115.176	116.572	36.0437	150.018	189.021	89.9905	338.08	116.068	198.22	78.9176	35.9754	50.5932	162.715	85.0882	235.711	35.6991	47.4102	58.5564	75.8357	104.907	87.4079	114.267	137.059	223.743	20.0059	342.987	74.1809	286.862	73.0282	133.533	180.768	129.291	226.408	33.7853	219.615	128.481	255.47	168.109	211.078	252.774	589.034	106.725	115.946	130.795	4.75044	365.56	279.01	100.647	104.857	138.617	102.02	154.552	239.224	247.108	272.695	228.922	175.589	59.9118	110.026	172.37	108.739	201.054	125.253	107.623	50.7187	107.193	148.459	6.89294	235.201	186.72	129.628	40.8955	303.058	273.733	490.998	95.6102	170.301	306.79	14.21	237.028	128.459	90.8751	79.5987	400.444	150.006	222.864	225.193	58.2641	64.2336	11.2497	115.877	96.6834	105.491	86.2909	111.388	46.6525	41.4413	376.664	166.147	168.706	304.114	66.0498	119.201	241.657	46.6578	251.246	154.875	67.5137	152.455	106.012	128.744	153.296	166.646	280.918	93.2936	318.587	301.507	42.2477	195.046	194.679	70.1847	198.728	275.753	17.3516	309.63	157.161	422.56	191.209	76.2681	231.444	80.8387	122.228	63.0586	199.434	223.906	163.88
SBF2	1.70471	0.808838	0.464294	2.59793	44.9769	7.33599	9.5704	0	0.159314	3.66111	12.4649	35.2608	22.6186	6.91758	4.36132	0.675725	55.2893	6.73324	12.2114	0.702241	0.186203	10.6261	12.0003	1.0922	12.5214	2.78463	119.627	0.561077	0.117629	0.50826	1.43021	36.4473	34.0189	0.376244	5.01693	0.797018	3.14816	0.322909	0.318505	2.504	0.571461	0	0.386743	0.228709	9.01495	13.4752	0.16339	1.59526	1.71525	5.82012	16.473	1.52493	0.399016	77.9188	1.07312	3.53215	2.96969	0.479245	5.43987	14.0986	9.17006	4.86378	50.727	3.72416	2.21422	19.2343	1.55072	4.0484	0.775385	2.66012	1.60458	1.40314	1.63833	45.1937	57.0547	23.0232	1.77127	30.7842	80.8643	0.525165	2.52799	21.0619	0.376737	6.56794	38.3808	76.9901	10.5845	1.41752	9.24939	61.388	2.92448	0	181.968	6.74676	3.53462	30.0983	0.200206	5.41837	1.1393	26.5543	4.74376	240.566	3.2766	1.75777	2.7655	42.7054	2.81362	10.3607	34.2669	2.12247	16.6308	29.0017	3.30029	11.7342	0.52122	16.1848	26.3353	2.40328	5.80947	9.43903	9.66306	4.82699	1.44506	16.5093	151.599	29.0971	70.8849	109.899	14.586	17.3707	5.94914	73.913	10.8455	2.78543	53.2464	39.8961	38.7992	32.6817	64.0216	1.57313	88.9842	5.5979	34.5239	8.8775	11.907	13.1161	0.84621	23.0497	0	34.6066	81.2299	14.0107	12.5827	3.11129	0.795278	2.04209	2.72399	4.27728	107.036	56.7481	38.2921	11.7313	11.7061	3.25157	32.7786	5.78602	17.1973	33.5678	85.5995	30.8259	70.1681	4.3821	10.082	12.6468	3.34561	323.983	35.6601	18.9275	3.00142	0	7.67711	31.9126	0.644997	2.98519	21.8971	18.0363	2.75585	41.1231	2.83818	86.7389	7.59681	8.81336	1.48259	119.198	11.794	1.98447	0.210085	3.21592	4.30519	1.10233	36.195	15.272	1.0664	10.9	29.1948	89.4392	26.1583	0.851713	42.7178	2.99633	18.2676	48.528	5.0951	2.9201	78.1858	0	2.92795	6.68381	4.85896	10.6016	39.201	133.075	6.38614	29.8637	15.377	11.1053	2.79281	25.0502	4.62055	43.3344	5.31615	8.82229	9.36299	10.7224	4.30757	7.29641	4.27112	0.564414	8.98672	16.7659	28.8632	5.28449	5.34293	4.23127	3.27198	9.07136	48.5977	39.7754	1.13737	44.9666	4.09172	44.9874	3.04446	17.6121	29.7728	1.63772	4.12214	16.1314	107.236	3.56699	0.506217	3.20154	31.8791	10.343	6.4404	38.8196	14.6398	40.6701	18.1124	178.359	15.9421
CCNB1	25.7601	68.9877	66.3259	9.91334	0.742277	0.994046	393.993	0.295235	0	33.0556	0	3.45728	9.5803	0	138.242	0.12706	0	0	0	423.964	0.222845	0	12.6553	58.919	54.5666	19.9456	0.2346	276.118	44.0138	15.3979	0.407652	0.564929	358.284	0.117998	11.1217	0	0	95.2416	183.806	577.767	75.0613	0	506.234	134.235	166.192	73.9235	168.078	144.382	0	28.8519	36.8344	0.0896783	4.46554	0.271981	2.93964	0	0.27075	169.372	86.1648	11.9367	0	0.301896	0	0	96.1607	0	0	0	0	138.909	0	2.2938	529.929	0.163691	0	0	0	0	0	0	0	0	1.56879	0	0	7.75352	0	0	99.0928	0	0	0	0	0	0	0	0	216.785	0	0	0	0	0	20.9576	0	2.14199	0	0	0	0	0	0	0	0	0	0	0.153138	0	0	0	0	0	0	0	0	103.46	0	0	0	0	0	0	0	0	0	0	63.0553	0	4.09177	0	58.1037	0	0	54.3741	0	0.511074	0.190457	0	0	49.1445	0	0.389986	0	0	0	0	0.66882	0	0	0.203868	0	0	0	0	0	0.0831612	0	0	0.311766	0	3.73505	34.5306	0	0	0	0	3.89395	0	0.363847	0	0	0	0.258862	38.092	90.432	0	0	3.36308	0	2.87173	0.396688	43.4683	0.201752	7.13421	1.90343	954.554	54.1269	0	0	0	0	0	0	3.56939	0	4.40298	1.32774	0	0	0	716.82	0	0.149028	0	0	0.259975	0	0	0	0	0	0	0	0	0	0	0	0	0.566124	0.128805	9.44391	1.58889	0	22.0529	0	0.505173	0	0	0	18.7715	28.2109	313.879	0	0	25.9388	0	0	0	0	0	0	0	0.159534	52.8166	0	0	92.1549	11.2161	0	24.985	0	5.84581	0.137845	20.0578	0.177065	7.05563	293.898	580.625	0	0	0.150393
LPIN1	0.680486	10.5168	0	0	18.1015	0	0	0	6.83504	5.5203	2.08894	3.04459	5.01909	0	0.159309	0	0.0894392	4.23829	0.432078	1.60441	0	0	5.25941	0.271055	0	0.0879299	0.522566	0.0533028	7.67376	0	0	0	15.0533	3.04244	0.0514829	4.17805	0.068533	0.28924	13.9943	0	0	0	0.282891	7.36202	0.770531	0.113627	0	0.543881	0.059563	0.0878959	12.7913	6.25573	0.049052	0.401397	0	0.179951	0.200703	0.0631862	11.2796	0.043435	7.26183	2.20051	0.855374	26.4022	0.0449106	0	0.451264	0.286136	0.530362	0.0972271	24.4982	13.4559	0	26.7376	16.7417	3.15697	31.4195	0.55166	30.5632	36.9186	0.0910918	23.5825	0.0656158	0	0.0762184	0	21.4083	0.398713	0	0.548632	22.9408	0	1.32325	1.7198	8.28544	13.4278	0	1.5742	15.6501	1.93973	32.7504	28.7327	2.96267	0.192381	0.187319	24.3664	17.0707	1.3904	0	0	58.92	17.0477	0	0.536437	7.88324	11.3445	2.40133	16.4729	269.009	0.19133	2.54601	18.7787	0	12.0179	17.2767	10.9227	23.3728	21.0364	12.3798	13.4219	0.151511	16.208	14.524	0	0.992781	9.86937	0	0.52983	10.9593	1.56562	0	12.624	8.10557	22.1285	0	4.7338	31.923	11.2937	0.503776	1.89858	26.6654	1.94489	0.405981	8.57984	26.5178	0.0465009	0.683267	0	5.8713	24.3035	0.142206	27.8701	56.7351	35.801	16.7701	0.0311466	0.105958	10.7741	0.345254	3.5461	73.4594	12.5836	0	0.513642	10.3784	0.458231	12.9862	0.33387	25.2901	6.19895	9.07797	3.02348	1.45759	9.9694	0	10.042	0.629727	0.341797	0	0.678981	0	0.276288	2.45455	6.86596	0.225324	0.318254	1.42829	2.8939	44.7078	32.9247	0.130909	27.0707	0	0.405861	1.03618	10.7045	21.4516	157.489	45.0601	0	60.321	0.487615	1.67562	0	7.35195	0.0891452	0	20.5717	0	16.8541	17.0856	0	8.99362	3.81137	0	7.61607	11.7806	6.18551	0.966052	0.582991	121.831	0.0855115	7.12691	6.79052	0	1.33073	4.88008	0.701253	0.975666	0.204493	2.87119	2.31332	3.77271	5.83369	24.8996	26.7359	4.00022	6.17166	7.20987	18.9277	24.5928	7.91357	18.4325	19.8301	0.0969146	0.855414	16.1553	22.7687	0	0.635136	0.0711699	0	4.76623	0	15.9268	21.9054	1.38104	1.21647	3.1601	0.559759	1.37886
CDCA8	3.12539	6.95925	24.5125	0	1.15608	0	0	0	0	26.982	0	0	5.84326	51.4641	10.566	0	0	0	0.311981	78.994	0.0694977	0	9.87935	0	0	0.443869	0	4.73658	0	0.829605	0	0	66.6031	5.41569	0.12993	0	0	0	97.6415	126.574	0	0	47.2743	0.242536	42.1675	33.3201	13.3308	14.3926	0	0	0	0	4.2109	0	1.57905	0	1.17111	0.292595	19.9992	0	0	0.141087	0	0	0	0	0	0	0	0	0	0	96.4564	0	0	0.347085	0	0	0	0	0	0	0	0	0	22.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.7951	0	0	0	0	0	0	0	0	0	0	0	0	18.5964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.350059	0	0	0	116.617	0	0	0	0	0	0	0	0.256557	0	0	0	0	0	0	109.259	0	0	0	0	0.121512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.5199	0	0	0	0	0	0	0	0	0	0	0	0	0.724515	0	2.83454	0	0	0	0	0	0	0	0	22.4224	25.6734	193.346	0	0.368974	0
DTNA	3.98188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.8128	0	0	0	1.88986	0	0.634644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01637	0	0	0	0	0	0	0	0.533654	0	0	0	0	0	2.3253	0	0	0	0	0	0	0	0	0.640916	0	0	0	0	0	0	0	0	0	1.68653	0	0	0	0.076538	0	0	3.03772	0	0.161536	0	0	0	0.0826704	0.0810246	0	0.106588	118.477	0.22832	0.0664566	0	44.6134	0.0530465	0.539658	0	0	3.46896	0.0658331	0	0	0	0	5.1099	4.85861	0.080777	0.117443	0	0.0584404	0.291952	0.158291	0	149.999	1.73296	0.108634	0	0	1.87714	0.143118	0.571264	0.516927	0	1.99205	19.5327	0	4.80497	0	0	0.107683	0.929016	0.352918	4.37084	0	13.4511	0	0	0	0	2.87343	0	0	0	0.0558118	19.5732	0	0	0	120.422	0	2.84056	104.789	0	0	0	0	0	0.0917324	0.759706	0	4.90699	33.7454	0	0	0	0	0	0	7.7133	0.561234	0	28.4302	2.17561	0	5.01662	1.48494	0	0	0	0	0	6.67378	0	0	0	0	0	24.0979	51.1903	0	0	0	1.50081	23.1556	0	0.843958	0	1.90571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.3948	46.3945	0	0	0	0	0	0	0	0	0	0	0.793352	0.286528	3.26665	0	2.82607	1.44941	4.49462	2.54218	6.36142	9.36234	4.74179	5.22259	370.474	6.89828	4.43632	0	2.89017	6.01514	3.93055	5.3735	16.2857	77.6684	1.69643	1.22757	3.59066	12.2669	4.25182	2.09931	13.8697	16.5821	1.64271	1.60986	3.91882	3.1143	1.90156	1.6611	0	0.881955	2.85714	3.67089	1.39148	0.692306	2.68774	9.95954	2.81752	5.6056	1.50461	5.3417	2.29401
PDGFRA	0	0.0494526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505553	0	0.113943	0	0	0	0	0	0	0	0	0	7.81842	0	0	0	0	0	0	0	0	0	0.196769	0	0	0	0.029788	0.100143	0	0	37.3314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108381	0	0.318637	0	0	0	0	0	0.112204	0	0	0.0525959	0	40.9653	0	0	8.59368	0.124909	0	0.25515	14.6396	0	0	17.4712	11.9052	112.3	0	0	14.7539	0	1.5687	13.0935	0	9.3114	0	0	0	27.1171	5.06148	0	0	0	0	0	0	0	0	1.85264	0.259457	0.37244	0	0	0	0	0.163838	55.4233	34.5438	0.292728	11.9154	26.3809	0	0	24.2988	6.44888	0	0.0427932	2.07274	0	0	0	0	5.82124	0	0	0	0	0	0	0	0	0	0	4.06894	36.281	0.383414	0	0	0	0	0	0	0	8.89454	0	2.48973	0.0858129	0	1.76714	0	26.7483	0.313565	1.79057	17.7785	0	0.213725	0.235059	9.37871	0	0	0.156784	37.7504	0.765539	0.291727	0	0.415823	0.458831	33.5405	0	54.2055	0	14.4195	0.38852	0	0	0	0	0	0	0	41.4862	0	0	0	0	0.0596236	0.060867	0	0	0	0	0	0	0	0	0	0	0	0	0	8.53173	0	0	1.34808	0	0	0	35.1353	0	25.8332	0	1.27473	0.0875064	0	0	10.4514	0	14.7417	0	0	15.9984	0	0	7.35604	0	7.60456	0.058374	0.0664092	0	0	0	0	0.233723	0	3.6806	1.51519	77.1877	12.0558	0	0.964744	0.336083	0	0	0	0	0	0.722591	11.8902	0	6.7598	9.42494	0.157783	0	0	19.1745
